Shape, OneWay, 1 thread,2 threads,3 threads,4 threads
50, 0.000111919, 0.000268605, 0.000260677, 0.000260677, 0.000257413
100, 0.00042669, 0.0010096, 0.000950843, 0.000989548, 0.000954107
150, 0.000997009, 0.00282548, 0.00208355, 0.00218988, 0.00213392
200, 0.00173008, 0.00373948, 0.00443478, 0.00396519, 0.00372876
250, 0.00256574, 0.00601237, 0.00576288, 0.00577501, 0.00679253
300, 0.00393021, 0.00974532, 0.00845733, 0.00971455, 0.00831137
350, 0.00654118, 0.0129289, 0.0134466, 0.0133277, 0.0126529
400, 0.00957185, 0.0177517, 0.0191045, 0.0181994, 0.0180604
450, 0.0137031, 0.0231327, 0.0230236, 0.0231126, 0.0232301
500, 0.0185547, 0.0286992, 0.0286545, 0.0280002, 0.0286661
550, 0.0203244, 0.0341338, 0.0337132, 0.035648, 0.0357688
600, 0.0264823, 0.04321, 0.0435168, 0.0461506, 0.0452301
650, 0.0310341, 0.0500142, 0.0489425, 0.0564947, 0.0495665
700, 0.0378532, 0.057613, 0.0577272, 0.056961, 0.0582658
750, 0.0406382, 0.0663711, 0.0672636, 0.0640026, 0.0673443
800, 0.0463012, 0.0729505, 0.0729486, 0.0726912, 0.0725737
850, 0.0509809, 0.0837325, 0.0810903, 0.0817277, 0.0846497
900, 0.0556203, 0.0943536, 0.0927834, 0.091938, 0.0908323
950, 0.0633274, 0.104617, 0.103382, 0.104287, 0.102955
1000, 0.0752378, 0.11536, 0.113498, 0.111274, 0.11378
1050, 0.0759084, 0.122413, 0.121003, 0.122299, 0.128403
1100, 0.0797743, 0.134751, 0.134998, 0.134089, 0.134177
1150, 0.0902956, 0.147801, 0.147852, 0.147484, 0.149086
1200, 0.0983015, 0.16173, 0.162407, 0.163014, 0.163421
1250, 0.109221, 0.1758, 0.173971, 0.172138, 0.175185
1300, 0.117663, 0.191003, 0.188325, 0.188473, 0.190732
1350, 0.128976, 0.203589, 0.203064, 0.202673, 0.201718
1400, 0.133947, 0.21836, 0.217725, 0.216254, 0.220844
1450, 0.126025, 0.21585, 0.215965, 0.217117, 0.216459
1500, 0.132328, 0.228359, 0.229215, 0.232087, 0.22823
1550, 0.144945, 0.243181, 0.246181, 0.249906, 0.241877
1600, 0.153227, 0.254529, 0.259358, 0.259303, 0.260498
1650, 0.162545, 0.277188, 0.278122, 0.280016, 0.277376
1700, 0.17011, 0.292474, 0.295964, 0.292908, 0.298676
1750, 0.182611, 0.310421, 0.314351, 0.315584, 0.310237
1800, 0.191603, 0.325124, 0.327982, 0.327827, 0.323234
1850, 0.199352, 0.340506, 0.344994, 0.34429, 0.346886
1900, 0.212058, 0.363715, 0.365809, 0.366198, 0.361602
1950, 0.221872, 0.383733, 0.3836, 0.38256, 0.385519
2000, 0.269145, 0.464687, 0.461653, 0.464549, 0.455971
2050, 0.303843, 0.440492, 0.474154, 0.463298, 0.485618
2100, 0.313594, 0.494875, 0.504566, 0.506221, 0.504308
2150, 0.320939, 0.524621, 0.540829, 0.50397, 0.5452
2200, 0.387518, 0.58101, 0.551955, 0.552772, 0.552746
2250, 0.361618, 0.527575, 0.505982, 0.505111, 0.500291
2300, 0.301725, 0.531287, 0.527722, 0.528274, 0.529406
2350, 0.312607, 0.553396, 0.555242, 0.550403, 0.557556
2400, 0.403924, 0.681038, 0.758865, 0.811829, 0.819267
2450, 0.634701, 0.868247, 0.873755, 0.723568, 0.601774
2500, 0.357326, 0.628233, 0.638248, 0.635398, 0.622874
2550, 0.397091, 0.697852, 0.683813, 0.666365, 0.665924
2600, 0.387153, 0.690918, 0.68994, 0.691898, 0.686855
2650, 0.405765, 0.720484, 0.715371, 0.718484, 0.7188
2700, 0.41486, 0.741499, 0.738592, 0.741012, 0.740238
2750, 0.424796, 0.765112, 0.76862, 0.766687, 0.769651
2800, 0.441574, 0.796396, 0.79561, 0.799804, 0.793737
2850, 0.454779, 0.82458, 0.854214, 0.824485, 0.825515
2900, 0.470985, 0.850609, 0.887213, 0.972459, 0.933187
2950, 0.487155, 0.881164, 0.894017, 0.880309, 0.894836
3000, 0.507735, 0.918475, 0.909894, 0.912276, 0.917126
3050, 0.52023, 0.944408, 0.939342, 0.948044, 0.942341
3100, 0.541527, 0.973141, 0.978337, 0.971988, 0.972333
3150, 0.555811, 1.00699, 1.00674, 1.0076, 1.00212
3200, 0.573392, 1.03922, 1.03417, 1.03386, 1.05875
3250, 0.64484, 1.12681, 1.12755, 1.12641, 1.11849
3300, 0.644232, 1.15393, 1.15291, 1.14688, 1.1508
3350, 0.666233, 1.18705, 1.18537, 1.19403, 1.1918
3400, 0.726833, 1.3117, 1.30634, 1.30956, 1.3015
3450, 0.751576, 1.34849, 1.35444, 1.35125, 1.34831
3500, 0.785823, 1.39223, 1.38278, 1.38773, 1.38219
3550, 0.789762, 1.42948, 1.43059, 1.42482, 1.42367
3600, 0.817339, 1.46195, 1.4661, 1.46579, 1.46628
3650, 0.83755, 1.50102, 1.50298, 1.50388, 1.61237
3700, 1.01271, 2.01271, 2.27018, 2.20541, 1.55059
3750, 0.981037, 1.6286, 1.76277, 1.5963, 1.53602
3800, 0.875759, 1.57595, 1.58227, 1.72028, 1.65678
3850, 0.987222, 1.72601, 1.7056, 1.65437, 1.67138
3900, 0.953654, 1.71443, 1.71404, 1.71193, 1.71211
3950, 0.981181, 1.75318, 1.76071, 1.67652, 1.6801
4000, 0.937175, 1.7189, 1.71833, 1.72066, 1.71686
4050, 1.02454, 1.87669, 1.87892, 1.87999, 1.8722
4100, 1.05692, 2.13467, 2.02803, 2.03322, 2.01978
4150, 1.14946, 2.07745, 2.06457, 2.06308, 2.17417
4200, 1.17652, 2.11799, 2.11115, 2.11159, 2.11188
4250, 1.19953, 2.17554, 2.15276, 2.16482, 2.16839
4300, 1.22937, 2.21273, 2.21042, 2.20438, 2.20801
4350, 1.25671, 2.26459, 2.26405, 2.30949, 3.05275
4400, 2.4453, 2.55453, 2.36042, 2.26975, 2.20601
4450, 1.23189, 2.26101, 2.26002, 2.25891, 2.25321
4500, 1.26089, 2.30607, 2.3096, 2.30493, 2.31356
4550, 1.28277, 2.35787, 2.37009, 2.3636, 2.36119
4600, 1.31445, 2.41775, 2.41665, 2.41177, 2.41201
4650, 1.33579, 2.46335, 2.46494, 2.64588, 2.58876
4700, 1.57325, 2.80254, 2.8047, 2.80493, 2.79462
4750, 1.58424, 2.85741, 3.03455, 2.88882, 2.89617
4800, 1.62226, 2.92249, 2.94967, 2.92149, 2.9324
4850, 1.65607, 2.99795, 2.98391, 2.9773, 3.78033
4900, 3.01935, 3.05699, 2.9788, 2.89183, 2.89084
4950, 1.59234, 2.92805, 2.9348, 2.93309, 2.93597
5000, 1.61759, 2.99848, 3.01389, 3.04538, 3.00257
