Shape, successive, 1 thread,2 threads,4 threads,8 threads
100, 0.000231145, 0.000272475, 0.000315505, 0.00040266, 0.000527295
200, 0.000862905, 0.00101314, 0.00099233, 0.00111121, 0.0013009
300, 0.00215365, 0.0023606, 0.00197052, 0.00196239, 0.00230737
400, 0.00382966, 0.00402835, 0.00291294, 0.0029248, 0.00353793
500, 0.00576334, 0.00627209, 0.00480935, 0.00417785, 0.00494662
600, 0.00831955, 0.00873115, 0.00648968, 0.0057052, 0.00662396
700, 0.0113825, 0.0118554, 0.00906807, 0.00769304, 0.00852001
800, 0.0154309, 0.0159057, 0.0116495, 0.00982822, 0.0105714
900, 0.0206107, 0.0216676, 0.0158675, 0.0131706, 0.0133502
1000, 0.0266306, 0.0274606, 0.0205717, 0.0168031, 0.0165641
1100, 0.0327883, 0.0334271, 0.0254557, 0.0206704, 0.0197737
1200, 0.0384662, 0.0393929, 0.030178, 0.0251499, 0.023618
1300, 0.0446663, 0.0456631, 0.0352558, 0.0292229, 0.0276516
1400, 0.05139, 0.0527232, 0.040422, 0.0340746, 0.0322741
1500, 0.058943, 0.0599145, 0.0461776, 0.0387309, 0.0368842
1600, 0.0662605, 0.0678957, 0.0522957, 0.0438392, 0.0421748
1700, 0.0748286, 0.0759163, 0.0580439, 0.0492814, 0.0478787
1800, 0.0832965, 0.0846004, 0.0644194, 0.0546923, 0.0533325
1900, 0.0923989, 0.0939286, 0.071223, 0.0606251, 0.0587434
2000, 0.102023, 0.104025, 0.078646, 0.0666485, 0.0653348
2100, 0.112407, 0.113735, 0.0878601, 0.0735032, 0.0721533
2200, 0.122586, 0.124409, 0.0942606, 0.0802957, 0.0786526
2300, 0.134272, 0.135208, 0.102615, 0.0872714, 0.0849334
2400, 0.145549, 0.147428, 0.112305, 0.094627, 0.092407
2500, 0.168667, 0.170145, 0.129783, 0.109613, 0.106868
2600, 0.181674, 0.18392, 0.139395, 0.118551, 0.115931
2700, 0.195644, 0.197394, 0.149923, 0.12728, 0.124194
2800, 0.210167, 0.212123, 0.161302, 0.136671, 0.133425
2900, 0.225523, 0.227265, 0.172189, 0.145778, 0.142977
3000, 0.240878, 0.243128, 0.184272, 0.155913, 0.152528
3100, 0.256545, 0.258818, 0.195658, 0.166019, 0.162108
3200, 0.272812, 0.275282, 0.208, 0.17649, 0.173308
3300, 0.290184, 0.29231, 0.220342, 0.187493, 0.183826
3400, 0.307669, 0.309663, 0.233613, 0.198914, 0.193904
3500, 0.325694, 0.32798, 0.246444, 0.210213, 0.206219
3600, 0.343896, 0.345907, 0.260949, 0.221739, 0.217106
3700, 0.363255, 0.365653, 0.275365, 0.234406, 0.229347
3800, 0.382119, 0.384934, 0.290129, 0.246262, 0.240864
3900, 0.402302, 0.404975, 0.30504, 0.259602, 0.254151
4000, 0.422624, 0.425914, 0.321265, 0.272546, 0.26668
4100, 0.443893, 0.446547, 0.337141, 0.286147, 0.279649
4200, 0.465648, 0.468618, 0.353349, 0.299524, 0.293302
4300, 0.487582, 0.489767, 0.36872, 0.316128, 0.306805
4400, 0.509617, 0.513458, 0.388035, 0.328082, 0.320745
4500, 0.532548, 0.536208, 0.405285, 0.346926, 0.336816
4600, 0.556241, 0.56001, 0.422373, 0.359292, 0.351765
4700, 0.581361, 0.584647, 0.44099, 0.373902, 0.365963
4800, 0.606244, 0.608046, 0.458731, 0.389877, 0.381819
4900, 0.631435, 0.633714, 0.478577, 0.40571, 0.39799
5000, 0.656525, 0.659934, 0.498159, 0.42288, 0.413845
5100, 0.682007, 0.685377, 0.518568, 0.440263, 0.431224
5200, 0.708481, 0.712452, 0.53739, 0.456922, 0.446319
5300, 0.738087, 0.739782, 0.557409, 0.473989, 0.464115
5400, 0.763256, 0.767818, 0.577669, 0.490242, 0.480203
5500, 0.791443, 0.795286, 0.598619, 0.507982, 0.496791
5600, 0.819845, 0.823154, 0.621492, 0.527546, 0.515715
5700, 0.849032, 0.852681, 0.642273, 0.545142, 0.533662
5800, 0.879901, 0.882753, 0.666422, 0.564342, 0.552369
5900, 0.90903, 0.912249, 0.686857, 0.582747, 0.570695
6000, 0.939237, 0.94323, 0.710095, 0.602053, 0.589576
6100, 0.970863, 0.974502, 0.734389, 0.621962, 0.609266
6200, 1.06755, 1.07114, 0.807878, 0.686499, 0.675193
6300, 1.10347, 1.10767, 0.833742, 0.708239, 0.69336
6400, 1.13514, 1.14012, 0.859826, 0.729735, 0.713506
6500, 1.17196, 1.17634, 0.885657, 0.751714, 0.73688
6600, 1.20652, 1.212, 0.913529, 0.774992, 0.757918
6700, 1.24341, 1.24839, 0.939326, 0.797805, 0.781852
6800, 1.28084, 1.28854, 0.970832, 0.821781, 0.804631
6900, 1.31832, 1.3228, 0.99726, 0.844829, 0.828487
7000, 1.35533, 1.36106, 1.02548, 0.871318, 0.852135
7100, 1.39415, 1.40107, 1.05481, 0.894987, 0.881301
7200, 1.4327, 1.43945, 1.08423, 0.919279, 0.901098
7300, 1.47441, 1.48498, 1.1156, 0.946233, 0.928342
7400, 1.51625, 1.52043, 1.14625, 0.975356, 0.952563
